estrato;perfil_cluster;candidatos_cluster;eleitos_cluster;taxa_cluster;candidatos_estrato;eleitos_estrato;taxa_estrato;indice_vs_estrato;delta_pp;participacao_no_estrato;participacao_eleitos_estrato;patrimonio_mediano_cluster;patrimonio_medio_cluster;qtd_bens_mediana;macros_mediana;concentracao_mediana;classificacao_vs_estrato
01_baixo;Baixo patrimônio - financeiro concentrado;690;42;0.06086956521739131;5365;118;0.021994408201304754;2.7675018422991893;3.8875157016086557;0.12861136999068035;0.3559322033898305;6548.51;16800.479130434782;2.0;1.0;1.0;muito acima do estrato
01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;427;15;0.0351288056206089;5365;118;0.021994408201304754;1.5971698487675146;1.3134397419304142;0.07958993476234856;0.1271186440677966;49049.18;50664.18341920375;3.0;2.0;0.6852389896191586;muito acima do estrato
01_baixo;Baixo patrimônio - societário concentrado;411;12;0.029197080291970802;5365;118;0.021994408201304754;1.3274774217493504;0.7202672090666048;0.07660764212488351;0.1016949152542373;22036.09;36036.87644768856;1.0;1.0;1.0;acima do estrato
01_baixo;Baixo patrimônio - dinheiro em espécie concentrado;364;9;0.024725274725274724;5365;118;0.021994408201304754;1.1241618550940584;0.27308665239699703;0.06784715750232992;0.07627118644067797;10000.0;22230.65368131868;1.0;1.0;1.0;acima do estrato
01_baixo;Baixo patrimônio - imobiliário concentrado;718;15;0.020891364902506964;5365;118;0.021994408201304754;0.9498489212029649;-0.110304329879779;0.13383038210624418;0.1271186440677966;60000.0;60348.94633704735;1.0;1.0;1.0;próximo ao estrato
01_baixo;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie;2191;22;0.010041077133728891;5365;118;0.021994408201304754;0.45652863408860594;-1.1953331067575863;0.40838769804287045;0.1864406779661017;30000.0;35954.069475125514;1.0;1.0;1.0;muito abaixo do estrato
01_baixo;Baixo patrimônio - imobiliário + veicular;306;2;0.006535947712418301;5365;118;0.021994408201304754;0.2971640633654592;-1.5458460488886452;0.05703634669151911;0.01694915254237288;74000.0;70245.16519607844;2.0;2.0;0.5717058983958879;muito abaixo do estrato
01_baixo;Baixo patrimônio - outros ativos diversificado;258;1;0.003875968992248062;5365;118;0.021994408201304754;0.17622520036788858;-1.8118439209056691;0.04808946877912395;0.00847457627118644;7110.0;22986.00593023256;1.0;1.0;1.0;muito abaixo do estrato
02_medio_baixo;Patrimônio médio-baixo - veicular + financeiro;360;48;0.13333333333333333;4186;187;0.044672718585762064;2.9846702317290554;8.866061474757126;0.08600095556617296;0.25668449197860965;170000.0;178927.4628888889;4.0;2.0;0.5937386602365536;muito acima do estrato
02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;289;34;0.11764705882352941;4186;187;0.044672718585762064;2.6335325574079897;7.297434023776734;0.06903965599617773;0.18181818181818182;199896.72;197147.81903114187;4.0;2.0;0.7515500685871056;muito acima do estrato
02_medio_baixo;Patrimônio médio-baixo - societário + veicular;326;21;0.06441717791411043;4186;187;0.044672718585762064;1.4419802499917982;1.9744459328348367;0.0778786430960344;0.11229946524064172;169121.165;180445.6166564417;3.0;2.0;0.692102868849726;acima do estrato
02_medio_baixo;Patrimônio médio-baixo - imobiliário + veicular;443;27;0.060948081264108354;4186;187;0.044672718585762064;1.3643244287249068;1.627536267834629;0.10582895365504061;0.1443850267379679;208600.0;206534.18943566593;5.0;3.0;0.5042471300570099;acima do estrato
