estrato;DS_CARGO;perfil_cluster;candidatos_cluster_cargo;eleitos_cluster_cargo;taxa_cluster_cargo;candidatos_estrato_cargo;eleitos_estrato_cargo;taxa_estrato_cargo;indice_vs_estrato_cargo;delta_pp_vs_estrato_cargo;participacao_candidatos_estrato_cargo;participacao_eleitos_estrato_cargo;patrimonio_mediano_cluster_cargo
02_medio_baixo;DEPUTADO FEDERAL;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;119;16;0.13445378151260504;1431;49;0.03424178895877009;3.9265992111130164;10.021199255383495;0.08315863032844165;0.32653061224489793;192005.0
01_baixo;DEPUTADO ESTADUAL;Baixo patrimônio - financeiro concentrado;367;28;0.07629427792915532;3142;72;0.022915340547422024;3.3293975174084167;5.337893738173329;0.11680458306810948;0.3888888888888889;7045.18
02_medio_baixo;DEPUTADO ESTADUAL;Patrimônio médio-baixo - veicular + financeiro;204;32;0.1568627450980392;2497;119;0.04765718862635162;3.2914812984017137;10.920555647168758;0.0816980376451742;0.2689075630252101;172252.575
02_medio_baixo;DEPUTADO FEDERAL;Patrimônio médio-baixo - veicular + financeiro;121;11;0.09090909090909091;1431;49;0.03424178895877009;2.654916512059369;5.666730195032081;0.08455625436757512;0.22448979591836735;155463.12
03_medio_alto;DEPUTADO FEDERAL;Patrimônio médio-alto - veicular diversificado;151;27;0.17880794701986755;1522;110;0.07227332457293036;2.474051776038531;10.653462244693719;0.09921156373193167;0.24545454545454545;414884.0
03_medio_alto;DEPUTADO FEDERAL;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;157;27;0.17197452229299362;1522;110;0.07227332457293036;2.3795020266357843;9.970119772006326;0.10315374507227333;0.24545454545454545;509302.56
01_baixo;DEPUTADO FEDERAL;Baixo patrimônio - financeiro concentrado;280;12;0.04285714285714286;1935;39;0.020155038759689922;2.1263736263736264;2.2702104097452933;0.14470284237726097;0.3076923076923077;6375.135
02_medio_baixo;DEPUTADO ESTADUAL;Patrimônio médio-baixo - societário + veicular;188;19;0.10106382978723404;2497;119;0.04765718862635162;2.120641873770785;5.3406641160882415;0.07529034841810173;0.15966386554621848;170000.0
02_medio_baixo;DEPUTADO ESTADUAL;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;149;15;0.10067114093959731;2497;119;0.04765718862635162;2.112402007782979;5.301395231324569;0.059671605927112535;0.12605042016806722;203000.0
02_medio_baixo;DEPUTADO FEDERAL;Patrimônio médio-baixo - imobiliário + veicular;145;10;0.06896551724137931;1431;49;0.03424178895877009;2.0140745953553836;3.4723728282609216;0.1013277428371768;0.20408163265306123;211139.66
03_medio_alto;DEPUTADO ESTADUAL;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;199;43;0.21608040201005024;2244;254;0.11319073083778966;1.908993787836822;10.288967117226058;0.08868092691622104;0.16929133858267717;481300.0
