DS_CARGO;perfil_cluster;candidatos_cluster_cargo;eleitos_cluster_cargo;taxa_cluster_cargo;candidatos_cargo;eleitos_cargo;taxa_cargo;indice_vs_cargo;delta_pp_vs_cargo;participacao_candidatos_cargo;participacao_eleitos_cargo;patrimonio_mediano_cluster_cargo
DEPUTADO ESTADUAL;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;149;15;0.10067114093959731;10056;975;0.09695704057279236;1.0383066597831698;0.37141003668049455;0.014817024661893398;0.015384615384615385;203000.0
DEPUTADO FEDERAL;Patrimônio médio-baixo - imobiliário + veicular;145;10;0.06896551724137931;6772;498;0.0735380980507974;0.9378202465032544;-0.4572580809418095;0.02141169521559362;0.020080321285140562;211139.66
DEPUTADO ESTADUAL;Baixo patrimônio - financeiro concentrado;367;28;0.07629427792915532;10056;975;0.09695704057279236;0.786887444980088;-2.066276264363705;0.03649562450278441;0.028717948717948718;7045.18
DEPUTADO FEDERAL;Patrimônio médio-alto - rural/agropecuário + imobiliário;146;8;0.0547945205479452;6772;498;0.0735380980507974;0.7451174561258733;-1.8743577502852202;0.02155936207914944;0.01606425702811245;493876.46
DEPUTADO ESTADUAL;Patrimônio médio-alto - imobiliário concentrado com societário e dinheiro em espécie;362;26;0.0718232044198895;10056;975;0.09695704057279236;0.7407734806629834;-2.5133836152902864;0.03599840891010342;0.02666666666666667;459032.605
DEPUTADO FEDERAL;Baixo patrimônio - financeiro concentrado;280;12;0.04285714285714286;6772;498;0.0735380980507974;0.5827882960413081;-3.0680955193654547;0.04134672179562906;0.024096385542168676;6375.135
DEPUTADO FEDERAL;Patrimônio médio-alto - imobiliário concentrado com societário e dinheiro em espécie;261;11;0.0421455938697318;6772;498;0.0735380980507974;0.5731123728630999;-3.13925041810656;0.038541051388068515;0.02208835341365462;450000.0
DEPUTADO ESTADUAL;Patrimônio médio-baixo - imobiliário + veicular;282;14;0.04964539007092199;10056;975;0.09695704057279236;0.5120349154391708;-4.7311650501870375;0.028042959427207637;0.014358974358974359;207250.41499999998
DEPUTADO ESTADUAL;Patrimônio médio-baixo - veicular concentrado;225;11;0.04888888888888889;10056;975;0.09695704057279236;0.5042324786324787;-4.806815168390347;0.02237470167064439;0.011282051282051283;148507.0
DEPUTADO FEDERAL;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;411;15;0.0364963503649635;6772;498;0.0735380980507974;0.4962917362882185;-3.7041747685833903;0.06069108092144123;0.030120481927710843;465000.0
DEPUTADO ESTADUAL;Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;650;30;0.046153846153846156;10056;975;0.09695704057279236;0.47602366863905327;-5.080319441894621;0.06463802704852824;0.03076923076923077;438027.26
DEPUTADO ESTADUAL;Patrimônio médio-baixo - rural/agropecuário + imobiliário;131;6;0.04580152671755725;10056;975;0.09695704057279236;0.4723899001761597;-5.115551385523511;0.013027048528241846;0.006153846153846154;195300.0
DEPUTADO FEDERAL;Baixo patrimônio - veicular concentrado com financeiro e societário;147;5;0.034013605442176874;6772;498;0.0735380980507974;0.46253039368357785;-3.952449260862053;0.021707028942705257;0.010040160642570281;50000.0
DEPUTADO FEDERAL;Alto patrimônio - imobiliário concentrado com veicular e outros ativos;250;8;0.032;6772;498;0.0735380980507974;0.43514859437751;-4.1538098050797405;0.03691671588895452;0.01606425702811245;1160939.185
DEPUTADO FEDERAL;Patrimônio médio-baixo - rural/agropecuário + imobiliário;69;2;0.028985507246376812;6772;498;0.0735380980507974;0.394156335486875;-4.455259080442059;0.010189013585351446;0.004016064257028112;200574.72
DEPUTADO FEDERAL;Baixo patrimônio - societário concentrado;176;5;0.028409090909090908;6772;498;0.0735380980507974;0.3863179992698065;-4.512900714170649;0.02598936798582398;0.010040160642570281;24046.295
DEPUTADO ESTADUAL;Baixo patrimônio - societário concentrado;206;7;0.03398058252427184;10056;975;0.09695704057279236;0.350470500373413;-6.297645804852052;0.02048528241845664;0.0071794871794871795;20264.555
DEPUTADO FEDERAL;Baixo patrimônio - imobiliário concentrado;234;6;0.02564102564102564;6772;498;0.0735380980507974;0.34867675831531253;-4.789707240977177;0.03455404607206143;0.012048192771084338;61317.79
DEPUTADO ESTADUAL;Baixo patrimônio - veicular concentrado com financeiro e societário;252;8;0.031746031746031744;10056;975;0.09695704057279236;0.3274236874236874;-6.521100882676062;0.025059665871121718;0.008205128205128205;47524.880000000005
