perfil_cluster;SG_UF;candidatos_cluster_uf;candidatos_cluster_total;candidatos_uf;perc_cluster_na_uf;perc_uf_no_cluster
Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;RO;28;1152;454;0.024305555555555556;0.06167400881057269
Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;ES;27;1152;481;0.0234375;0.056133056133056136
Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;RR;26;1152;343;0.022569444444444444;0.07580174927113703
Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;SE;25;1152;322;0.021701388888888888;0.07763975155279502
Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;AC;22;1152;281;0.019097222222222224;0.07829181494661921
Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;AM;20;1152;398;0.017361111111111112;0.05025125628140704
Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;AP;18;1152;267;0.015625;0.06741573033707865
Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;RN;13;1152;356;0.011284722222222222;0.03651685393258427
Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;AL;11;1152;239;0.009548611111111112;0.04602510460251046
Patrimônio médio-alto - imobiliário concentrado com veicular e dinheiro em espécie;PI;4;1152;262;0.003472222222222222;0.015267175572519083
Patrimônio médio-alto - rural/agropecuário + imobiliário;MG;46;410;1668;0.11219512195121951;0.027577937649880094
Patrimônio médio-alto - rural/agropecuário + imobiliário;BA;28;410;999;0.06829268292682927;0.028028028028028028
Patrimônio médio-alto - rural/agropecuário + imobiliário;PR;26;410;1154;0.06341463414634146;0.022530329289428077
Patrimônio médio-alto - rural/agropecuário + imobiliário;SP;26;410;2528;0.06341463414634146;0.010284810126582278
Patrimônio médio-alto - rural/agropecuário + imobiliário;RO;24;410;454;0.05853658536585366;0.05286343612334802
Patrimônio médio-alto - rural/agropecuário + imobiliário;RS;24;410;975;0.05853658536585366;0.024615384615384615
Patrimônio médio-alto - rural/agropecuário + imobiliário;GO;23;410;766;0.05609756097560976;0.030026109660574413
Patrimônio médio-alto - rural/agropecuário + imobiliário;MA;20;410;575;0.04878048780487805;0.034782608695652174
Patrimônio médio-alto - rural/agropecuário + imobiliário;SC;20;410;752;0.04878048780487805;0.026595744680851064
Patrimônio médio-alto - rural/agropecuário + imobiliário;TO;19;410;411;0.046341463414634146;0.046228710462287104
Patrimônio médio-alto - rural/agropecuário + imobiliário;ES;17;410;481;0.041463414634146344;0.035343035343035345
Patrimônio médio-alto - rural/agropecuário + imobiliário;RR;15;410;343;0.036585365853658534;0.043731778425655975
Patrimônio médio-alto - rural/agropecuário + imobiliário;DF;14;410;606;0.03414634146341464;0.0231023102310231
Patrimônio médio-alto - rural/agropecuário + imobiliário;PA;13;410;556;0.03170731707317073;0.023381294964028777
Patrimônio médio-alto - rural/agropecuário + imobiliário;RJ;13;410;1432;0.03170731707317073;0.009078212290502794
Patrimônio médio-alto - rural/agropecuário + imobiliário;MT;11;410;380;0.026829268292682926;0.02894736842105263
Patrimônio médio-alto - rural/agropecuário + imobiliário;PE;11;410;572;0.026829268292682926;0.019230769230769232
