variavel;estrato;perfil_cluster;categoria;candidatos_cluster_categoria;candidatos_cluster;perc_cluster;perc_estrato;perc_base;indice_vs_estrato;indice_vs_base;delta_pp_vs_estrato;delta_pp_vs_base
DS_CARGO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;DEPUTADO ESTADUAL;198;474;0.4177215189873418;0.4793650793650794;0.5519512596739667;0.8714058177550507;0.7568087066855986;-6.164356037773761;-13.422974068662496
DS_CARGO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;DEPUTADO FEDERAL;197;474;0.41561181434599154;0.4106575963718821;0.37169987375816455;1.012064108926462;1.1181381638466656;0.4954217974109443;4.391194058782699
DS_CARGO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;GOVERNADOR;20;474;0.04219409282700422;0.018367346938775512;0.010593336626598606;2.2972339428035626;3.9830786384206727;2.3826745888228706;3.160075620040561
DS_CARGO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;SENADOR;16;474;0.03375527426160337;0.02312925170068027;0.011691091717437839;1.4594192107222637;2.8872645153622156;1.0626022560923103;2.2064182544165534
DS_CARGO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;1º SUPLENTE;13;474;0.027426160337552744;0.014965986394557823;0.010648224381140568;1.8325661680092062;2.5756557484014095;1.246017394299492;1.6777935956412175
DS_CARGO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;VICE-GOVERNADOR;13;474;0.027426160337552744;0.015646258503401362;0.010373785608430759;1.7528893780957622;2.64379478936441;1.1779901834151383;1.7052374729121986
DS_CARGO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;2º SUPLENTE;12;474;0.02531645569620253;0.013605442176870748;0.010099346835720951;1.8607594936708862;2.5067418822234453;1.1711013519331783;1.521710886048158
DS_CARGO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;PRESIDENTE;3;474;0.006329113924050633;0.0013605442176870747;0.000713540809045502;4.651898734177215;8.870009737098345;0.4968569706363558;0.5615573115005131
DS_CARGO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;DEPUTADO DISTRITAL;1;474;0.002109704641350211;0.021541950113378686;0.021625775289532904;0.09793471019320452;0.09755509863136927;-1.9432245472028475;-1.9516070648182695
DS_CARGO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;VICE-PRESIDENTE;1;474;0.002109704641350211;0.0013605442176870747;0.0006037652999615786;1.5506329113924051;3.4942462600690445;0.0749160423663136;0.1505939341388632
DS_CARGO;01_baixo;Baixo patrimônio - financeiro concentrado;DEPUTADO ESTADUAL;367;690;0.5318840579710145;0.5856477166821994;0.5519512596739667;0.9081979538556629;0.9636431635017813;-5.376365871118494;-2.0067201702952286
DS_CARGO;01_baixo;Baixo patrimônio - financeiro concentrado;DEPUTADO FEDERAL;280;690;0.4057971014492754;0.36067101584342964;0.37169987375816455;1.1251170280492828;1.0917332237602404;4.5126085605845745;3.4097227691110845
DS_CARGO;01_baixo;Baixo patrimônio - financeiro concentrado;DEPUTADO DISTRITAL;9;690;0.013043478260869565;0.02050326188257223;0.021625775289532904;0.6361660079051382;0.6031450011035091;-0.7459783621702665;-0.858229702866334
DS_CARGO;01_baixo;Baixo patrimônio - financeiro concentrado;GOVERNADOR;9;690;0.013043478260869565;0.005778191985088537;0.010593336626598606;2.2573632538569424;1.2312908312683035;0.7265286275781028;0.2450141634270958
DS_CARGO;01_baixo;Baixo patrimônio - financeiro concentrado;VICE-GOVERNADOR;9;690;0.013043478260869565;0.009133271202236719;0.010373785608430759;1.4281277728482697;1.2573498964803311;0.3910207058632846;0.26696926524388054
DS_CARGO;01_baixo;Baixo patrimônio - financeiro concentrado;2º SUPLENTE;4;690;0.005797101449275362;0.007082945013979497;0.010099346835720951;0.8184591914569032;0.574007561436673;-0.1285843564704134;-0.4302245386445589
DS_CARGO;01_baixo;Baixo patrimônio - financeiro concentrado;1º SUPLENTE;3;690;0.004347826086956522;0.006150978564771668;0.010648224381140568;0.7068511198945981;0.40831465710443743;-0.18031524778151464;-0.6300398294184046
DS_CARGO;01_baixo;Baixo patrimônio - financeiro concentrado;PRESIDENTE;3;690;0.004347826086956522;0.0005591798695246971;0.000713540809045502;7.77536231884058;6.093311036789298;0.3788646217431825;0.36342852779110196
DS_CARGO;01_baixo;Baixo patrimônio - financeiro concentrado;SENADOR;3;690;0.004347826086956522;0.003727865796831314;0.011691091717437839;1.166304347826087;0.37189222290263324;0.061996029012520784;-0.7343265630481317
DS_CARGO;01_baixo;Baixo patrimônio - financeiro concentrado;VICE-PRESIDENTE;3;690;0.004347826086956522;0.0007455731593662628;0.0006037652999615786;5.831521739130435;7.201185770750988;0.36022529275902593;0.3744060786994943
DS_CARGO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;DEPUTADO ESTADUAL;252;427;0.5901639344262295;0.5856477166821994;0.5519512596739667;1.0077114921058947;1.0692319730818889;0.45162177440301043;3.8212674752262754
DS_CARGO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;DEPUTADO FEDERAL;147;427;0.3442622950819672;0.36067101584342964;0.37169987375816455;0.9545050196975473;0.926183513599876;-1.6408720761462436;-2.743757867619734
DS_CARGO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;DEPUTADO DISTRITAL;9;427;0.02107728337236534;0.02050326188257223;0.021625775289532904;1.0279965935703639;0.9746371212211272;0.05740214897931098;-0.054849191716756576
DS_CARGO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;VICE-GOVERNADOR;7;427;0.01639344262295082;0.009133271202236719;0.010373785608430759;1.7949146871863502;1.5802758261774656;0.7260171420714102;0.6019657014520061
DS_CARGO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;SENADOR;5;427;0.0117096018735363;0.003727865796831314;0.011691091717437839;3.1411007025761126;1.0015832701124783;0.7981736076704986;0.0018510156098461641
DS_CARGO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;2º SUPLENTE;3;427;0.00702576112412178;0.007082945013979497;0.010099346835720951;0.9919265376556144;0.6956649017411669;-0.005718388985771674;-0.3073585711599171
DS_CARGO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;1º SUPLENTE;2;427;0.00468384074941452;0.006150978564771668;0.010648224381140568;0.7614789582002697;0.4398705907916656;-0.14671378153571485;-0.5964383631726048
DS_CARGO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;GOVERNADOR;1;427;0.00234192037470726;0.005778191985088537;0.010593336626598606;0.40530331646143386;0.2210748565118734;-0.3436271610381277;-0.8251416251891346
DS_CARGO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;VICE-PRESIDENTE;1;427;0.00234192037470726;0.0007455731593662628;0.0006037652999615786;3.141100702576112;3.8788588460719606;0.15963472153409972;0.17381550747456814
DS_CARGO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;DEPUTADO ESTADUAL;199;392;0.5076530612244898;0.5514868518063406;0.5519512596739667;0.9205170704645496;0.9197425539428182;-4.383379058185078;-4.429819844947691
DS_CARGO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;DEPUTADO FEDERAL;157;392;0.4005102040816326;0.37404767756205454;0.37169987375816455;1.0707463997425515;1.0775096586183204;2.646252651957809;2.8810330323468083
DS_CARGO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;SENADOR;12;392;0.030612244897959183;0.012288031457360531;0.011691091717437839;2.4912244897959184;2.6184248347226213;1.8324213440598653;1.8921153180521344
DS_CARGO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;DEPUTADO DISTRITAL;7;392;0.017857142857142856;0.025804866060457114;0.021625775289532904;0.6920068027210884;0.8257342277012327;-0.7947723203314259;-0.37686324323900483
DS_CARGO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;2º SUPLENTE;5;392;0.012755102040816327;0.010076185795035636;0.010099346835720951;1.2658661025385765;1.262963065661047;0.2678916245780691;0.2655755205095376
DS_CARGO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;1º SUPLENTE;4;392;0.01020408163265306;0.009093143278446793;0.010648224381140568;1.122173193601765;0.9582895013675572;0.11109383542062673;-0.04441427484875079
DS_CARGO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;GOVERNADOR;4;392;0.01020408163265306;0.008847382649299582;0.010593336626598606;1.153344671201814;0.9632547319445912;0.13566989833534784;-0.0389254993945546
DS_CARGO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;VICE-GOVERNADOR;3;392;0.007653061224489796;0.00786434013271074;0.010373785608430759;0.9731345663265306;0.7377308066083577;-0.02112789082209434;-0.27207243839409634
DS_CARGO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;PRESIDENTE;1;392;0.002551020408163265;0.0004915212582944212;0.000713540809045502;5.190051020408164;3.575156985871271;0.20594991498688442;0.1837479599117763
DS_CARGO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;DEPUTADO ESTADUAL;214;398;0.5376884422110553;0.5514868518063406;0.5519512596739667;0.9749796218167487;0.9741592808913302;-1.3798409595285333;-1.426281746291147
DS_CARGO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;DEPUTADO FEDERAL;151;398;0.3793969849246231;0.37404767756205454;0.37169987375816455;1.014301137751834;1.0207078659689468;0.5349307362568556;0.7697111166458548
DS_CARGO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;DEPUTADO DISTRITAL;9;398;0.022613065326633167;0.025804866060457114;0.021625775289532904;0.8763101220387653;1.045653393872918;-0.31918007338239474;0.09872900371002621
DS_CARGO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;SENADOR;9;398;0.022613065326633167;0.012288031457360531;0.011691091717437839;1.840251256281407;1.9342133201217355;1.0325033869272635;1.0921973609195328
DS_CARGO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;VICE-GOVERNADOR;5;398;0.01256281407035176;0.00786434013271074;0.010373785608430759;1.597440326633166;1.21101539443248;0.469847393764102;0.21890284619210004
DS_CARGO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;1º SUPLENTE;4;398;0.010050251256281407;0.009093143278446793;0.010648224381140568;1.1052560097786228;0.9438429259700564;0.09571079778346141;-0.05979731248591611
DS_CARGO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;2º SUPLENTE;4;398;0.010050251256281407;0.010076185795035636;0.010099346835720951;0.9974261551660742;0.9951387371640812;-0.0025934538754228756;-0.004909557943954396
DS_CARGO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;GOVERNADOR;1;398;0.002512562814070352;0.008847382649299582;0.010593336626598606;0.28398939140145174;0.2371833259562059;-0.633481983522923;-0.8080773812528255
DS_CARGO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;PRESIDENTE;1;398;0.002512562814070352;0.0004915212582944212;0.000713540809045502;5.111809045226131;3.5212601468882876;0.2021041555775931;0.17990220050248498
