variavel;estrato;perfil_cluster;categoria;candidatos_cluster_categoria;candidatos_cluster;perc_cluster;perc_estrato;perc_base;indice_vs_estrato;indice_vs_base;delta_pp_vs_estrato;delta_pp_vs_base
DS_COR_RACA;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;BRANCA;373;474;0.7869198312236287;0.6786848072562358;0.5504692903013337;1.159477599631207;1.4295435641702356;10.823502396739293;23.6450540922295
DS_COR_RACA;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;PARDA;87;474;0.18354430379746836;0.26825396825396824;0.3273505680882595;0.6842184106059471;0.5606964572243588;-8.470966445649989;-14.380626429079117
DS_COR_RACA;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;AMARELA;7;474;0.014767932489451477;0.006122448979591836;0.0044459081178988965;2.4120956399437414;3.321690889201438;0.8645483509859639;1.032202437155258
DS_COR_RACA;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;NÃO INFORMADO;3;474;0.006329113924050633;0.003401360544217687;0.0025797244634721992;1.8607594936708862;2.453406948559117;0.2927753379832946;0.37493894605784334
DS_COR_RACA;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;PRETA;3;474;0.006329113924050633;0.041723356009070296;0.11054393764751085;0.15169235002751788;0.05725428330798335;-3.5394242085019663;-10.42148237234602
DS_COR_RACA;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;INDÍGENA;1;474;0.002109704641350211;0.0018140589569160999;0.004610571381524782;1.1629746835443036;0.4575798673899939;0.029564568443411092;-0.25008667401745716
DS_COR_RACA;01_baixo;Baixo patrimônio - financeiro concentrado;BRANCA;358;690;0.518840579710145;0.4527493010251631;0.5504692903013337;1.1459776492980354;0.9425422795631799;6.609127868498188;-3.162871059118877
DS_COR_RACA;01_baixo;Baixo patrimônio - financeiro concentrado;PARDA;200;690;0.2898550724637681;0.36495806150978566;0.3273505680882595;0.7942147414546047;0.8854576735776981;-7.510298904601753;-3.7495495624491393
DS_COR_RACA;01_baixo;Baixo patrimônio - financeiro concentrado;PRETA;122;690;0.17681159420289855;0.16812674743709227;0.11054393764751085;1.0516565442334265;1.5994689348473727;0.8684846765806276;6.626765655538771
DS_COR_RACA;01_baixo;Baixo patrimônio - financeiro concentrado;INDÍGENA;7;690;0.010144927536231883;0.00782851817334576;0.004610571381524782;1.2958937198067633;2.2003623188405794;0.2316409362886124;0.5534356154707101
