estrato;SG_UF;perfil_cluster;candidatos_cluster_uf;eleitos_cluster_uf;taxa_cluster_uf;candidatos_estrato_uf;eleitos_estrato_uf;taxa_estrato_uf;indice_vs_estrato_uf;delta_pp_vs_estrato_uf;participacao_candidatos_estrato_uf;participacao_eleitos_estrato_uf;patrimonio_mediano_cluster_uf
02_medio_baixo;RJ;Patrimônio médio-baixo - veicular + financeiro;38;10;0.2631578947368421;300;18;0.06;4.385964912280702;20.31578947368421;0.12666666666666668;0.5555555555555556;164691.555
01_baixo;MG;Baixo patrimônio - financeiro concentrado;42;5;0.11904761904761904;441;12;0.027210884353741496;4.375;9.183673469387754;0.09523809523809523;0.4166666666666667;15000.0
02_medio_baixo;SP;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;62;6;0.0967741935483871;521;14;0.026871401151631478;3.6013824884792625;6.990279239675562;0.11900191938579655;0.42857142857142855;196270.495
02_medio_baixo;MG;Patrimônio médio-baixo - veicular concentrado;37;4;0.10810810810810811;387;14;0.03617571059431524;2.9884169884169887;7.193239751379288;0.09560723514211886;0.2857142857142857;160000.0
02_medio_baixo;PR;Patrimônio médio-baixo - veicular + financeiro;25;2;0.08;256;7;0.02734375;2.9257142857142857;5.265625;0.09765625;0.2857142857142857;180454.08
01_baixo;SP;Baixo patrimônio - financeiro concentrado;140;7;0.05;745;13;0.0174496644295302;2.865384615384616;3.25503355704698;0.18791946308724833;0.5384615384615384;5000.0
03_medio_alto;RJ;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;41;10;0.24390243902439024;303;27;0.0891089108910891;2.7371273712737128;15.479352813330113;0.1353135313531353;0.37037037037037035;482549.04
01_baixo;BA;Baixo patrimônio - financeiro concentrado;52;2;0.038461538461538464;339;5;0.014749262536873156;2.6076923076923078;2.3712275924665307;0.15339233038348082;0.4;5000.0
02_medio_baixo;RS;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;25;5;0.2;237;19;0.08016877637130802;2.494736842105263;11.9831223628692;0.10548523206751055;0.2631578947368421;191171.75
03_medio_alto;MG;Patrimônio médio-alto - veicular diversificado;25;5;0.2;401;35;0.08728179551122195;2.2914285714285714;11.271820448877806;0.06234413965087282;0.14285714285714285;430000.0
01_baixo;SP;Baixo patrimônio - dinheiro em espécie concentrado;26;1;0.038461538461538464;745;13;0.0174496644295302;2.20414201183432;2.1011874032008264;0.0348993288590604;0.07692307692307693;39250.0
04_alto;PR;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;44;20;0.45454545454545453;275;57;0.20727272727272728;2.1929824561403506;24.727272727272727;0.16;0.3508771929824561;2419047.095
01_baixo;RJ;Baixo patrimônio - dinheiro em espécie concentrado;49;4;0.08163265306122448;510;20;0.0392156862745098;2.081632653061224;4.241696678671468;0.09607843137254903;0.2;20000.0
04_alto;MG;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;42;14;0.3333333333333333;418;67;0.16028708133971292;2.079601990049751;17.30462519936204;0.10047846889952153;0.208955223880597;2372432.58
02_medio_baixo;SP;Patrimônio médio-baixo - imobiliário + veicular;90;5;0.05555555555555555;521;14;0.026871401151631478;2.067460317460317;2.8684154403924076;0.1727447216890595;0.35714285714285715;223008.0
02_medio_baixo;PR;Patrimônio médio-baixo - imobiliário + veicular;36;2;0.05555555555555555;256;7;0.02734375;2.0317460317460316;2.8211805555555554;0.140625;0.2857142857142857;203190.275
03_medio_alto;PR;Patrimônio médio-alto - rural/agropecuário + imobiliário;26;4;0.15384615384615385;236;18;0.07627118644067797;2.017094017094017;7.757496740547588;0.11016949152542373;0.2222222222222222;481094.55500000005
03_medio_alto;SP;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;73;11;0.1506849315068493;573;43;0.07504363001745201;2.0079643198470847;7.5641301489397295;0.1273996509598604;0.2558139534883721;509518.88
03_medio_alto;MG;Patrimônio médio-alto - imobiliário + veicular com veicular e financeiro;58;10;0.1724137931034483;401;35;0.08728179551122195;1.975369458128079;8.513199759222633;0.14463840399002495;0.2857142857142857;466486.735
04_alto;BA;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;26;14;0.5384615384615384;220;61;0.2772727272727273;1.9419924337957124;26.118881118881117;0.11818181818181818;0.22950819672131148;3025637.76
01_baixo;PE;Baixo patrimônio - imobiliário concentrado;40;2;0.05;193;5;0.025906735751295335;1.9300000000000002;2.409326424870467;0.20725388601036268;0.4;80000.0
03_medio_alto;SP;Patrimônio médio-alto - veicular diversificado;49;7;0.14285714285714285;573;43;0.07504363001745201;1.9036544850498336;6.781351283969084;0.08551483420593368;0.16279069767441862;400314.87
