variavel;estrato;perfil_cluster;categoria;eleitos_cluster_categoria;eleitos_cluster;perc_eleitos_cluster
DS_GENERO;02_medio_baixo;Patrimônio médio-baixo - veicular concentrado;MASCULINO;11;13;0.8461538461538461
DS_GENERO;02_medio_baixo;Patrimônio médio-baixo - veicular concentrado;FEMININO;2;13;0.15384615384615385
DS_GRAU_INSTRUCAO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;SUPERIOR COMPLETO;123;141;0.8723404255319149
DS_GRAU_INSTRUCAO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;ENSINO MÉDIO COMPLETO;9;141;0.06382978723404255
DS_GRAU_INSTRUCAO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;SUPERIOR INCOMPLETO;8;141;0.05673758865248227
DS_GRAU_INSTRUCAO;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos;ENSINO MÉDIO INCOMPLETO;1;141;0.0070921985815602835
DS_GRAU_INSTRUCAO;01_baixo;Baixo patrimônio - financeiro concentrado;SUPERIOR COMPLETO;29;42;0.6904761904761905
DS_GRAU_INSTRUCAO;01_baixo;Baixo patrimônio - financeiro concentrado;ENSINO MÉDIO COMPLETO;7;42;0.16666666666666666
DS_GRAU_INSTRUCAO;01_baixo;Baixo patrimônio - financeiro concentrado;SUPERIOR INCOMPLETO;6;42;0.14285714285714285
DS_GRAU_INSTRUCAO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;SUPERIOR COMPLETO;11;15;0.7333333333333333
DS_GRAU_INSTRUCAO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;SUPERIOR INCOMPLETO;3;15;0.2
DS_GRAU_INSTRUCAO;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário;ENSINO MÉDIO COMPLETO;1;15;0.06666666666666667
DS_GRAU_INSTRUCAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;SUPERIOR COMPLETO;60;77;0.7792207792207793
DS_GRAU_INSTRUCAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;ENSINO MÉDIO COMPLETO;8;77;0.1038961038961039
DS_GRAU_INSTRUCAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;SUPERIOR INCOMPLETO;7;77;0.09090909090909091
DS_GRAU_INSTRUCAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;ENSINO FUNDAMENTAL COMPLETO;1;77;0.012987012987012988
DS_GRAU_INSTRUCAO;03_medio_alto;Patrimônio médio-alto - imobiliário concentrado com financeiro e societário;ENSINO MÉDIO INCOMPLETO;1;77;0.012987012987012988
DS_GRAU_INSTRUCAO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;SUPERIOR COMPLETO;50;74;0.6756756756756757
DS_GRAU_INSTRUCAO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;SUPERIOR INCOMPLETO;12;74;0.16216216216216217
DS_GRAU_INSTRUCAO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;ENSINO MÉDIO COMPLETO;11;74;0.14864864864864866
DS_GRAU_INSTRUCAO;03_medio_alto;Patrimônio médio-alto - veicular diversificado;LÊ E ESCREVE;1;74;0.013513513513513514
DS_GRAU_INSTRUCAO;02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;SUPERIOR COMPLETO;32;34;0.9411764705882353
DS_GRAU_INSTRUCAO;02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;ENSINO MÉDIO COMPLETO;2;34;0.058823529411764705
DS_GRAU_INSTRUCAO;02_medio_baixo;Patrimônio médio-baixo - societário + veicular;SUPERIOR COMPLETO;14;21;0.6666666666666666
DS_GRAU_INSTRUCAO;02_medio_baixo;Patrimônio médio-baixo - societário + veicular;ENSINO MÉDIO COMPLETO;5;21;0.23809523809523808
DS_GRAU_INSTRUCAO;02_medio_baixo;Patrimônio médio-baixo - societário + veicular;SUPERIOR INCOMPLETO;2;21;0.09523809523809523
