perfil_cluster;DS_CARGO;candidatos_cluster_cargo;candidatos_cluster_total;candidatos_cargo;perc_cargo_no_cluster;perc_cluster_no_cargo
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;VICE-GOVERNADOR;2;289;189;0.006920415224913495;0.010582010582010581
Patrimônio médio-baixo - imobiliário concentrado com financeiro e societário;VICE-PRESIDENTE;1;289;11;0.0034602076124567475;0.09090909090909091
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;DEPUTADO ESTADUAL;619;1033;10056;0.5992255566311714;0.06155529037390613
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;DEPUTADO FEDERAL;354;1033;6772;0.3426911907066796;0.0522740696987596
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;DEPUTADO DISTRITAL;15;1033;394;0.01452081316553727;0.03807106598984772
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;VICE-GOVERNADOR;14;1033;189;0.013552758954501452;0.07407407407407407
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;2º SUPLENTE;10;1033;184;0.00968054211035818;0.05434782608695652
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;1º SUPLENTE;7;1033;194;0.006776379477250726;0.03608247422680412
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;GOVERNADOR;7;1033;193;0.006776379477250726;0.03626943005181347
Patrimônio médio-baixo - imobiliário concentrado com societário e dinheiro em espécie;SENADOR;7;1033;213;0.006776379477250726;0.03286384976525822
Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;DEPUTADO ESTADUAL;699;1154;10056;0.6057192374350087;0.06951073985680191
Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;DEPUTADO FEDERAL;384;1154;6772;0.3327556325823224;0.05670407560543414
Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;DEPUTADO DISTRITAL;30;1154;394;0.025996533795493933;0.07614213197969544
Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;1º SUPLENTE;11;1154;194;0.009532062391681109;0.05670103092783505
Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;GOVERNADOR;8;1154;193;0.006932409012131715;0.04145077720207254
Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;SENADOR;8;1154;213;0.006932409012131715;0.03755868544600939
Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;2º SUPLENTE;7;1154;184;0.006065857885615251;0.03804347826086957
Patrimônio médio-baixo - imobiliário concentrado com veicular e societário;VICE-GOVERNADOR;7;1154;189;0.006065857885615251;0.037037037037037035
Patrimônio médio-baixo - rural/agropecuário + imobiliário;DEPUTADO ESTADUAL;131;217;10056;0.6036866359447005;0.013027048528241846
Patrimônio médio-baixo - rural/agropecuário + imobiliário;DEPUTADO FEDERAL;69;217;6772;0.31797235023041476;0.010189013585351446
Patrimônio médio-baixo - rural/agropecuário + imobiliário;DEPUTADO DISTRITAL;5;217;394;0.02304147465437788;0.012690355329949238
Patrimônio médio-baixo - rural/agropecuário + imobiliário;2º SUPLENTE;3;217;184;0.013824884792626729;0.016304347826086956
Patrimônio médio-baixo - rural/agropecuário + imobiliário;SENADOR;3;217;213;0.013824884792626729;0.014084507042253521
Patrimônio médio-baixo - rural/agropecuário + imobiliário;1º SUPLENTE;2;217;194;0.009216589861751152;0.010309278350515464
Patrimônio médio-baixo - rural/agropecuário + imobiliário;GOVERNADOR;2;217;193;0.009216589861751152;0.010362694300518135
Patrimônio médio-baixo - rural/agropecuário + imobiliário;VICE-GOVERNADOR;2;217;189;0.009216589861751152;0.010582010582010581
Patrimônio médio-baixo - societário + veicular;DEPUTADO ESTADUAL;188;326;10056;0.5766871165644172;0.01869530628480509
Patrimônio médio-baixo - societário + veicular;DEPUTADO FEDERAL;118;326;6772;0.3619631901840491;0.017424689899586534
Patrimônio médio-baixo - societário + veicular;2º SUPLENTE;6;326;184;0.018404907975460124;0.03260869565217391
Patrimônio médio-baixo - societário + veicular;DEPUTADO DISTRITAL;6;326;394;0.018404907975460124;0.015228426395939087
Patrimônio médio-baixo - societário + veicular;1º SUPLENTE;4;326;194;0.012269938650306749;0.020618556701030927
Patrimônio médio-baixo - societário + veicular;SENADOR;3;326;213;0.009202453987730062;0.014084507042253521
Patrimônio médio-baixo - societário + veicular;GOVERNADOR;1;326;193;0.003067484662576687;0.0051813471502590676
Patrimônio médio-baixo - veicular + financeiro;DEPUTADO ESTADUAL;204;360;10056;0.5666666666666667;0.02028639618138425
