SQ_CANDIDATO;valor_ativos_financeiros;valor_bens_luxo_colecao;valor_creditos_direitos;valor_dinheiro_especie;valor_direitos_intangiveis;valor_imoveis;valor_outros;valor_outros_atividade_profissional;valor_participacoes_societarias;valor_rural_agropecuario;valor_veiculos;patrimonio_total;perc_ativos_financeiros;perc_bens_luxo_colecao;perc_creditos_direitos;perc_dinheiro_especie;perc_direitos_intangiveis;perc_imoveis;perc_outros;perc_outros_atividade_profissional;perc_participacoes_societarias;perc_rural_agropecuario;perc_veiculos;qtd_bens;qtd_macros_presentes;indice_concentracao_macro;log_patrimonio_total;log_qtd_bens;SG_UF;log_valor_ativos_financeiros;log_valor_bens_luxo_colecao;log_valor_creditos_direitos;log_valor_dinheiro_especie;log_valor_direitos_intangiveis;log_valor_imoveis;log_valor_outros;log_valor_outros_atividade_profissional;log_valor_participacoes_societarias;log_valor_rural_agropecuario;log_valor_veiculos;estrato_base;subestrato_alto;estrato_final;cluster_final_codigo;perfil_patrimonial_final
220001609491;2904085;0;0;0;0;2150000;0;0;0;1450000;0;6504085;0.4465016985479126;0.0;0.0;0.0;0.0;0.3305614855894411;0.0;0.0;0.0;0.2229368158626463;0.0;5;3;0.3583354864282447;15.687941152754592;1.791759469228055;RO;14.881629268813397;0.0;0.0;0.0;0.0;14.580978865220017;0.0;0.0;0.0;14.187074804051692;0.0;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c2;Patrimônio intermediário - imobiliário rural agropecuário
220001609493;0;0;0;0;0;41612314;0;0;0;80000;1274000;42966314;0.0;0.0;0.0;0.0;0.0;0.9684869407229114;0.0;0.0;0.0;0.0018619237386758;0.0296511355384127;6;3;0.93884961094955;17.575926994568558;1.9459101490553128;RO;0.0;0.0;0.0;0.0;0.0;17.543906715076023;0.0;0.0;0.0;11.289794413577894;14.057672900043293;Alto patrimônio;Alto patrimônio;Alto patrimônio;alto_k9_c3;Alto patrimônio - imobiliário rural agropecuário
220001609494;6673827;0;0;0;0;1400000;0;0;10254;0;460000;8544081;0.781105305532567;0.0;0.0;0.0;0.0;0.1638561244913291;0.0;0.0;0.00120012907181;0.0;0.0538384409042938;8;4;0.6398743458932369;15.960749437514336;2.19722457733622;RO;15.713704166310178;0.0;0.0;0.0;0.0;14.151983508870947;0.0;0.0;9.235520670506482;0.0;13.038983942375959;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c7;Patrimônio intermediário - imobiliário misto
220001609498;8745;0;0;0;0;225900;0;0;0;0;0;234645;0.0372690660359266;0.0;0.0;0.0;0.0;0.9627309339640734;0.0;0.0;0.0;0.0;0.0;2;2;0.9282398344945272;12.365833274412022;1.0986122886681096;RO;9.076351731972865;0.0;0.0;0.0;0.0;12.32785212918379;0.0;0.0;0.0;0.0;0.0;Baixo patrimônio;;Baixo patrimônio;baixo_k8_c1;Baixo patrimônio - imobiliário concentrado
220001609499;0;0;0;0;0;1200000;0;0;0;0;0;1200000;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;13.997832948091215;0.6931471805599453;RO;0.0;0.0;0.0;0.0;0.0;13.997832948091215;0.0;0.0;0.0;0.0;0.0;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c5;Patrimônio intermediário - imobiliário concentrado com outros ativos
220001609500;2119271;0;0;5570000;0;0;0;0;0;0;0;7689271;0.2756140341522622;0.0;0.0;0.7243859658477377;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;2;0.6006981233388442;15.855336668599971;1.0986122886681096;RO;14.566583191447794;0.0;0.0;15.532905791436665;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c8;Patrimônio intermediário - financeiro concentrado
220001609501;0;0;0;0;0;0;0;0;300000;0;0;300000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1;1;1.0;12.611541086966117;0.6931471805599453;RO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.611541086966115;0.0;0.0;Baixo patrimônio;;Baixo patrimônio;baixo_k8_c2;Baixo patrimônio - societário concentrado
220001609502;0;0;0;0;0;1930000;0;0;0;0;580000;2510000;0.0;0.0;0.0;0.0;0.0;0.7689243027888446;0.0;0.0;0.0;0.0;0.2310756972111553;4;2;0.6446405612609323;14.735793709514262;1.6094379124341005;RO;0.0;0.0;0.0;0.0;0.0;14.47303107901565;0.0;0.0;0.0;0.0;13.270785106659046;Patrimônio intermediário;;Patrimônio intermediário;intermediario_k10_c0;Patrimônio intermediário - imobiliário concentrado com veicular
220001609507;226419192;0;0;1895000;0;38500000;0;0;611049836;459375000;16882880;1354121908;0.1672073914928492;0.0;0.0;0.0013994308701488;0.0;0.0284317089713609;0.0;0.0;0.4512517169909047;0.3392419820446476;0.0124677696300885;28;6;0.347637312000005;21.02641904357255;3.367295829986474;RO;19.23789867543511;0.0;0.0;14.45472992420301;0.0;17.46616882523204;0.0;0.0;20.2306890800943;19.945377430108245;16.641810707924154;Alto patrimônio;Ultra-alto patrimônio;Ultra-alto patrimônio;ultra_k7_c0;Ultra alto patrimônio - imobiliário financeiro com rural agropecuário
220001609508;12818806;0;1395457;0;0;11364936;0;0;256247771;3688316;22885152;308400438;0.0415654597740876;0.0;0.0045248217189626;0.0;0.0;0.0368512317093401;0.0;0.0;0.8308930190300183;0.0119595031184748;0.0742059646491163;28;6;0.6991389387134802;19.54690962312844;3.367295829986474;RO;16.36642394740435;0.0;14.148733234766079;0.0;0.0;16.246043471918618;0.0;0.0;19.361655393744947;15.120680814411605;16.945998917649455;Alto patrimônio;Ultra-alto patrimônio;Ultra-alto patrimônio;ultra_k7_c5;Ultra alto patrimônio - societário concentrado
