SQ_CANDIDATO;valor_ativos_financeiros;valor_bens_luxo_colecao;valor_creditos_direitos;valor_dinheiro_especie;valor_direitos_intangiveis;valor_imoveis;valor_outros;valor_outros_atividade_profissional;valor_participacoes_societarias;valor_rural_agropecuario;valor_veiculos;perc_ativos_financeiros;perc_bens_luxo_colecao;perc_creditos_direitos;perc_dinheiro_especie;perc_direitos_intangiveis;perc_imoveis;perc_outros;perc_outros_atividade_profissional;perc_participacoes_societarias;perc_rural_agropecuario;perc_veiculos;qtd_bens;qtd_macros_presentes;indice_concentracao_macro;patrimonio_total
10001601428;0.0;0.0;0.0;0.0;0.0;50000.0;0.0;0.0;0.0;0.0;120000.0;0.0;0.0;0.0;0.0;0.0;0.29411764705882354;0.0;0.0;0.0;0.0;0.7058823529411765;3;2;0.5847750865051904;170000.0
10001601429;0.0;0.0;0.0;0.0;0.0;90000.0;0.0;0.0;0.0;0.0;16000.0;0.0;0.0;0.0;0.0;0.0;0.8490566037735849;0.0;0.0;0.0;0.0;0.1509433962264151;3;2;0.743681025275899;106000.0
10001601430;0.0;0.0;0.0;0.0;0.0;435000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;435000.0
10001601431;0.0;0.0;0.0;0.0;0.0;200000.0;0.0;0.0;0.0;0.0;89000.0;0.0;0.0;0.0;0.0;0.0;0.6920415224913494;0.0;0.0;0.0;0.0;0.3079584775086505;2;2;0.5737598927215909;289000.0
10001601432;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;15000.0
10001601434;0.0;0.0;0.0;0.0;0.0;454000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;454000.0
10001601437;0.0;0.0;0.0;0.0;0.0;600000.0;0.0;0.0;0.0;0.0;17000.0;0.0;0.0;0.0;0.0;0.0;0.9724473257698542;0.0;0.0;0.0;0.0;0.027552674230145867;4;2;0.9464129512541735;617000.0
10001601439;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;153990.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;153990.0
10001601440;0.0;0.0;0.0;0.0;0.0;430000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2;1;1.0;430000.0
10001601441;0.0;0.0;0.0;0.0;0.0;50000.0;0.0;0.0;0.0;0.0;207000.0;0.0;0.0;0.0;0.0;0.0;0.19455252918287938;0.0;0.0;0.0;0.0;0.8054474708171206;2;2;0.6865963148571514;257000.0
10001601442;0.0;0.0;0.0;0.0;0.0;175000.0;0.0;0.0;0.0;150000.0;17000.0;0.0;0.0;0.0;0.0;0.0;0.5116959064327485;0.0;0.0;0.0;0.43859649122807015;0.049707602339181284;4;3;0.45667042850791695;342000.0
10001601443;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;30000.0
10001601445;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;35000.0
