SQ_CANDIDATO;valor_ativos_financeiros;valor_bens_luxo_colecao;valor_creditos_direitos;valor_dinheiro_especie;valor_direitos_intangiveis;valor_imoveis;valor_outros;valor_outros_atividade_profissional;valor_participacoes_societarias;valor_rural_agropecuario;valor_veiculos;perc_ativos_financeiros;perc_bens_luxo_colecao;perc_creditos_direitos;perc_dinheiro_especie;perc_direitos_intangiveis;perc_imoveis;perc_outros;perc_outros_atividade_profissional;perc_participacoes_societarias;perc_rural_agropecuario;perc_veiculos;qtd_bens;qtd_macros_presentes;indice_concentracao_macro;patrimonio_total;estrato;perfil_cluster
210001610616;1000.0;0.0;0.0;0.0;0.0;300000.0;0.0;0.0;0.0;0.0;7000.0;0.0032467532467532;0.0;0.0;0.0;0.0;0.974025974025974;0.0;0.0;0.0;0.0;0.0227272727272727;3;3;0.9492536684095124;308000.0;03_medio_alto;Patrimônio médio-alto - imobiliário + veicular com veicular e financeiro
210001610618;4175.06;0.0;0.0;0.0;0.0;690000.0;0.0;0.0;5543.0;15000.0;33000.0;0.0055837356663553;0.0;0.0;0.0;0.0;0.9228077224722911;0.0;0.0;0.007413222037194;0.0200610374450498;0.0441342823791095;9;5;0.8540105067239523;747718.06;03_medio_alto;Patrimônio médio-alto - imobiliário + veicular com veicular e societário
210001610620;0.0;0.0;0.0;0.0;0.0;600000.0;0.0;0.0;0.0;0.0;154900.0;0.0;0.0;0.0;0.0;0.0;0.7948072592396344;0.0;0.0;0.0;0.0;0.2051927407603656;2;2;0.6738226402007699;754900.0;04_alto;Alto patrimônio - imobiliário concentrado com veicular e outros ativos
210001610622;2240.71;0.0;0.0;0.0;0.0;137105.96;0.0;0.0;0.0;25000.0;10000.0;0.0128520378393232;0.0;0.0;0.0;0.0;0.7863985013307109;0.0;0.0;0.0;0.1433924720214042;0.0573569888085617;8;4;0.642439002969406;174346.66999999998;02_medio_baixo;Patrimônio médio-baixo - imobiliário + veicular
210001610623;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1;1.0;25000.0;01_baixo;Baixo patrimônio - veicular concentrado com rural/agropecuário e dinheiro em espécie
210001610624;37760.3;0.0;198020.0;0.0;0.0;0.0;0.0;0.0;10000.0;0.0;40316.0;0.1319845800172878;0.0;0.692144568105215;0.0;0.0;0.0;0.0;0.0;0.0349532657360476;0.0;0.1409175861414495;7;4;0.5175635293894421;286096.3;02_medio_baixo;Patrimônio médio-baixo - veicular + financeiro
210001610625;2800.1;0.0;0.0;0.0;0.0;300000.0;0.0;0.0;0.0;0.0;63958.0;0.0076347325389677;0.0;0.0;0.0;0.0;0.8179778442521106;0.0;0.0;0.0;0.0;0.1743874232089216;6;3;0.6995570162017192;366758.1;03_medio_alto;Patrimônio médio-alto - imobiliário + veicular com veicular e financeiro
210001610626;27275.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;1;1.0;27275.81;01_baixo;Baixo patrimônio - financeiro concentrado
210001610627;9112.94;0.0;0.0;0.0;0.0;99000.0;0.0;0.0;0.0;0.0;62268.0;0.0534856774472543;0.0;0.0;0.0;0.0;0.5810509086286295;0.0;0.0;0.0;0.0;0.3654634139241161;7;3;0.4740443830272175;170380.94;02_medio_baixo;Patrimônio médio-baixo - imobiliário + veicular
210001610628;156.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;127303.0;0.001228859678943;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.998771140321057;6;2;0.9975453008343348;127459.63;02_medio_baixo;Patrimônio médio-baixo - veicular concentrado
210001610629;55091.72;0.0;343077.9;0.0;0.0;920040.86;37087.5;0.0;60000.0;174693.75;248049.68;0.0299730570270448;0.0;0.1866540645566848;0.0;0.0;0.5005550228599039;0.0201777282047198;0.0;0.0326434430005578;0.0950434245113117;0.1349532598397769;26;7;0.3150118248440106;1838041.41;04_alto;Alto patrimônio - imobiliário diversificado com societário e créditos e direitos
210001610630;307.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33520.0;0.009086722057694;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.990913277942306;2;2;0.9819916929201196;33827.38;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário
210001610631;0.0;0.0;0.0;0.0;0.0;161300.0;0.0;0.0;0.0;0.0;35000.0;0.0;0.0;0.0;0.0;0.0;0.8217014773306164;0.0;0.0;0.0;0.0;0.1782985226693836;2;2;0.7069836810334023;196300.0;02_medio_baixo;Patrimônio médio-baixo - imobiliário concentrado com veicular e societário
210001610632;52879.02;0.0;0.0;0.0;0.0;570000.0;0.0;0.0;0.0;0.0;100000.0;0.0731505805770929;0.0;0.0;0.0;0.0;0.7885136851806821;0.0;0.0;0.0;0.0;0.1383357342422249;6;3;0.6462416145243212;722879.02;03_medio_alto;Patrimônio médio-alto - imobiliário + veicular com veicular e financeiro
210001610633;0.0;0.0;0.0;0.0;0.0;949113.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2;1;1.0;949113.2;04_alto;Alto patrimônio - imobiliário concentrado com financeiro e outros ativos
210001610634;20775.93;0.0;0.0;0.0;0.0;0.0;15700.0;0.0;0.0;0.0;6000.0;0.4891224276902236;0.0;0.0;0.0;0.0;0.0;0.3696211007033866;0.0;0.0;0.0;0.1412564716063898;3;3;0.3958138981254478;42475.93;01_baixo;Baixo patrimônio - veicular concentrado com financeiro e societário
210001610636;27.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1.0;27.63;01_baixo;Baixo patrimônio - outros ativos diversificado
210001610637;71000.0;0.0;0.0;0.0;0.0;860000.0;0.0;0.0;0.0;500000.0;110000.0;0.0460739779364049;0.0;0.0;0.0;0.0;0.5580791693705386;0.0;0.0;0.0;0.3244646333549643;0.0713822193380921;8;4;0.4239478902639975;1541000.0;04_alto;Alto patrimônio - imobiliário + rural/agropecuário
210001610638;9233.65;0.0;69350.0;0.0;0.0;450000.0;3886.23;0.0;38339.74;0.0;52500.0;0.0148139058081599;0.0;0.1112609171666562;0.0;0.0;0.7219525987742657;0.0062348307731878;0.0;0.0615099442873992;0.0;0.0842278031903309;12;6;0.5447306675622527;623309.62;03_medio_alto;Patrimônio médio-alto - imobiliário + veicular com veicular e societário
