estrato;cluster_final_codigo;cluster_baixo;perfil_automatico;nome_base;nome_base_original;tipo_nome;macro_1;macro_1_pct;macro_2;macro_2_pct;macro_3;macro_3_pct;macro_1_2_pct;nome_base_repetido;nome_base_ainda_repetido;duplicado_no_estrato;ranking_concentracao;n_candidatos;patrimonio_mediano;patrimonio_medio;qtd_macros_media;concentracao_media;cluster_intermediario;cluster_alto;cluster_ultra_alto
Alto patrimônio;alto_k9_c6;;Alto patrimônio - imobiliário financeiro;imobiliário financeiro;imobiliário financeiro;macro_complementar;imobiliário;0.5849815067773677;financeiro;0.22317968817277486;societário;0.06705474084805803;0.8081611949501426;False;False;False;0.0;384;25663259.5;34848070.015625;4.125;0.620802300038134;;6.0;
Alto patrimônio;alto_k9_c2;;Alto patrimônio - imobiliário financeiro créditos direitos misto;imobiliário financeiro créditos direitos misto;imobiliário misto;misto;imobiliário;0.37606298282112477;financeiro;0.22953434754372964;créditos direitos;0.19638337552006685;0.6055973303648544;True;False;False;0.0;482;32066501.0;37555780.597510375;4.3029045643153525;0.5705060883370796;;2.0;
Alto patrimônio;alto_k9_c3;;Alto patrimônio - imobiliário rural agropecuário;imobiliário rural agropecuário;imobiliário rural agropecuário;macro_complementar;imobiliário;0.4867550450514295;rural agropecuário;0.25027339820091865;financeiro;0.12998492823842087;0.7370284432523482;False;False;False;0.0;611;26000000.0;34642528.823240586;3.8461538461538463;0.5539631138414906;;3.0;
Alto patrimônio;alto_k9_c4;;Alto patrimônio - imobiliário rural agropecuário financeiro misto mais concentrado;imobiliário rural agropecuário financeiro misto mais concentrado;imobiliário misto;misto;imobiliário;0.3830711309992451;rural agropecuário;0.20269194083548814;financeiro;0.15362363099331128;0.5857630718347333;True;True;False;0.0;192;28244319.5;35912249.770833336;5.067708333333333;0.49346805561398993;;4.0;
Alto patrimônio;alto_k9_c8;;Alto patrimônio - imobiliário rural agropecuário financeiro misto mais diversificado;imobiliário rural agropecuário financeiro misto mais diversificado;imobiliário misto;misto;imobiliário;0.302947820911118;rural agropecuário;0.1806685846433742;financeiro;0.17179480728637384;0.4836164055544922;True;True;False;1.0;192;36064147.5;42441961.630208336;5.59375;0.4484016710603594;;8.0;
Alto patrimônio;alto_k9_c7;;Alto patrimônio - imobiliário societário;imobiliário societário;imobiliário societário;macro_complementar;imobiliário;0.4411565514512238;societário;0.3369309872277923;financeiro;0.14655519379940019;0.778087538679016;False;False;False;0.0;271;24780117.0;32031865.431734316;3.4797047970479706;0.5098063518457607;;7.0;
Alto patrimônio;alto_k9_c0;;Alto patrimônio - veicular imobiliário;veicular imobiliário;veicular imobiliário;macro_complementar;veicular;0.6050927523327426;imobiliário;0.2611482986891698;financeiro;0.09354396578557328;0.8662410510219124;False;False;False;0.0;173;16047335.0;20152830.225433525;2.9364161849710984;0.58478342853704;;0.0;
Ultra alto patrimônio;ultra_k7_c3;;Ultra alto patrimônio - créditos direitos misto;créditos direitos misto;créditos direitos misto;misto;créditos direitos;0.3781576800474914;financeiro;0.2374620326166668;imobiliário;0.19628270937468367;0.6156197126641582;False;False;False;;112;261137176.5;995906242.8392857;5.741071428571429;0.4805480700084857;;;3.0
Ultra alto patrimônio;ultra_k7_c4;;Ultra alto patrimônio - imobiliário concentrado;imobiliário concentrado;imobiliário concentrado;concentrado;imobiliário;0.9314246007317865;veicular;0.020128637086805536;societário;0.0162580084326185;0.951553237818592;False;False;False;;72;161368476.0;195243932.16666666;2.7083333333333335;0.8991326036199736;;;4.0
Ultra alto patrimônio;ultra_k7_c0;;Ultra alto patrimônio - imobiliário financeiro com rural agropecuário;imobiliário financeiro com rural agropecuário;imobiliário financeiro;macro_complementar;imobiliário;0.4264010296315519;financeiro;0.35075302281362036;rural agropecuário;0.0759892061691924;0.7771540524451723;True;False;False;;172;182120332.0;424951428.35465115;5.8313953488372094;0.5950132368963217;;;0.0
Ultra alto patrimônio;ultra_k7_c2;;Ultra alto patrimônio - imobiliário financeiro com societário;imobiliário financeiro com societário;imobiliário financeiro;macro_complementar;imobiliário;0.4828763063987297;financeiro;0.44241883236656127;societário;0.04270384245961576;0.925295138765291;True;False;False;;330;174298679.0;306053305.3878788;4.078787878787879;0.6975748980381896;;;2.0
Ultra alto patrimônio;ultra_k7_c6;;Ultra alto patrimônio - imobiliário misto;imobiliário misto;imobiliário misto;misto;imobiliário;0.3083625742637404;financeiro;0.24339722455795232;outros ativos;0.19111706830429875;0.5517597988216927;False;False;False;;93;206173452.0;466508901.483871;5.182795698924731;0.5411212551426221;;;6.0
Ultra alto patrimônio;ultra_k7_c1;;Ultra alto patrimônio - rural agropecuário imobiliário;rural agropecuário imobiliário;rural agropecuário imobiliário;macro_complementar;rural agropecuário;0.5973439325420916;imobiliário;0.20082517890971224;financeiro;0.12090684351923373;0.7981691114518039;False;False;False;;104;176628293.5;356346235.3557692;4.326923076923077;0.583970917804768;;;1.0
Ultra alto patrimônio;ultra_k7_c5;;Ultra alto patrimônio - societário concentrado;societário concentrado;societário concentrado;concentrado;societário;0.812492825636319;imobiliário;0.0791238700667663;financeiro;0.0628238212310198;0.8916166957030853;False;False;False;;76;291240263.5;3371487287.236842;4.026315789473684;0.7240446668231139;;;5.0
